day,fit,se.fit,f1
240,86.84417468,4.425734569,0.868441747
241,86.4275773,4.441490013,0.864275773
242,85.99287645,4.460273939,0.859928765
243,85.53962195,4.481721545,0.855396219
244,85.06736361,4.505451639,0.850673636
245,84.57565128,4.531071913,0.845756513
246,84.06403476,4.558183994,0.840640348
247,83.53206388,4.586388248,0.835320639
248,82.97928846,4.615288264,0.829792885
249,82.40525833,4.644495041,0.824052583
250,81.80952331,4.673630855,0.818095233
251,81.19163323,4.70233286,0.811916332
252,80.5511379,4.730256472,0.805511379
253,79.88758714,4.757078564,0.798875871
254,79.20053079,4.782500575,0.792005308
255,78.48951867,4.806251578,0.784895187
256,77.75410059,4.828091384,0.777541006
257,76.99382639,4.847813773,0.769938264
258,76.20824588,4.865249907,0.762082459
259,75.39697698,4.880287437,0.75396977
260,74.56042922,4.893035887,0.745604292
261,73.69952283,4.903756678,0.736995228
262,72.81518657,4.912743439,0.728151866
263,71.90834918,4.920315675,0.719083492
264,70.97993942,4.926814571,0.709799394
265,70.03088604,4.932598892,0.70030886
266,69.06211778,4.938040927,0.690621178
267,68.0745634,4.943522404,0.680745634
268,67.06915164,4.949430351,0.670691516
269,66.04681126,4.956152874,0.660468113
270,65.00847101,4.964074848,0.65008471
271,63.95505963,4.973573544,0.639550596
272,62.88750588,4.985014214,0.628875059
273,61.80673851,4.998745694,0.618067385
274,60.71368626,5.015096089,0.607136863
275,59.60927789,5.034368627,0.596092779
276,58.49444215,5.056837767,0.584944422
277,57.37010779,5.082745652,0.573701078
278,56.23720355,5.112299008,0.562372036
279,55.0966582,5.145666566,0.550966582
280,53.94940047,5.182977078,0.539494005
281,52.79635911,5.224317978,0.527963591
282,51.63846289,5.269734706,0.516384629
283,50.47664055,5.319230715,0.504766405
284,49.31182083,5.372768111,0.493118208
285,48.14493249,5.430268907,0.481449325
286,46.97690428,5.491616801,0.469769043
287,45.80866495,5.556659412,0.45808665
288,44.64114325,5.625210868,0.446411433
289,43.47526793,5.697054671,0.434752679
290,42.31196774,5.771946724,0.423119677
291,41.15217143,5.849618446,0.411521714
292,39.99680775,5.929779888,0.399968077
293,38.84680544,6.012122787,0.388468054
294,37.70309327,6.096323504,0.377030933
295,36.56659998,6.182045794,0.365666
296,35.43825432,6.268943398,0.354382543
297,34.31898504,6.356662418,0.34318985
298,33.20972089,6.444843478,0.332097209
299,32.11139062,6.53312368,0.321113906
300,31.02492298,6.621138337,0.31024923
301,29.95124672,6.708522525,0.299512467
302,28.8912906,6.794912451,0.288912906
303,27.84598335,6.879946656,0.278459834
304,26.81625374,6.963267087,0.268162537
305,25.80303051,7.044520043,0.258030305
306,24.80724241,7.123357024,0.248072424
307,23.82981819,7.199435504,0.238298182
308,22.87168661,7.272419644,0.228716866
309,21.9337764,7.341980972,0.219337764
310,21.01701633,7.40779904,0.210170163
311,20.12233515,7.469562088,0.201223351
312,19.25066159,7.526967721,0.192506616
313,18.40292442,7.579723628,0.184029244
314,17.58005238,7.627548366,0.175800524
315,16.78297423,7.670172215,0.167829742
316,16.0126187,7.707338136,0.160126187
317,15.26991456,7.738802857,0.152699146
318,14.55579056,7.764338107,0.145557906
319,13.87117544,7.783732033,0.138711754
320,13.21689027,7.796830346,0.132168903
321,12.59304028,7.803759944,0.125930403
322,11.99943866,7.804770459,0.119994387
323,11.43589773,7.800125313,0.114358977
324,10.90222984,7.790099935,0.109022298
325,10.39824731,7.774980467,0.103982473
326,9.923762471,7.755062575,0.099237625
327,9.478587662,7.730650362,0.094785877
328,9.062535213,7.702055345,0.090625352
329,8.675417454,7.669595479,0.086754175
330,8.317046718,7.633594201,0.083170467
331,7.987235337,7.594379484,0.079872353
332,7.685795642,7.552282873,0.076857956
333,7.412539966,7.5076385,0.0741254
334,7.16728064,7.460782052,0.071672806
335,6.949829996,7.412049687,0.0694983
336,6.760000367,7.361776882,0.067600004
337,6.597604083,7.31029721,0.065976041
338,6.462453478,7.257941026,0.064624535
339,6.354360882,7.205034077,0.063543609
340,6.273138628,7.151896007,0.062731386
341,6.218599048,7.098838784,0.06218599
342,6.190554474,7.046165039,0.061905545
343,6.188817237,6.994166324,0.061888172
344,6.213199669,6.943121312,0.062131997
345,6.263514103,6.893293943,0.062635141
346,6.33957287,6.844931556,0.063395729
347,6.441188302,6.798263007,0.064411883
348,6.568172731,6.753496831,0.065681727
349,6.720338489,6.710819461,0.067203385
350,6.897497907,6.670393555,0.068974979
351,7.099463319,6.632356452,0.070994633
352,7.326047055,6.596818815,0.073260471
353,7.577061448,6.563863481,0.075770614
354,7.852318829,6.53354456,0.078523188
355,8.15163153,6.50588681,0.081516315
356,8.474811884,6.48088531,0.084748119
357,8.821672222,6.458505454,0.088216722
358,9.192024876,6.438683266,0.091920249
359,9.585682178,6.421326038,0.095856822
360,10.00245646,6.406313298,0.100024565
361,10.44216005,6.393498063,0.104421601
362,10.90460529,6.382708393,0.109046053
363,11.3896045,6.37374918,0.113896045
364,11.89697002,6.366404176,0.1189697
365,12.42651418,6.360438194,0.124265142
